id,ppoint_dh,lon_bd,lat_bd,ppoint_type,insert_time,onlyId
ca31765995b84d8fbfc15eb9e87c4cfa,KSTC037WS028,16635.131000000052,79977.48200000077,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16635.131|410079977.482KSTC037WS028
fbb58b32e4c84e76928173245e16d040,KSTC037YS111,16634.12799999956,79971.19999999925,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16634.128|410079971.2KSTC037YS111
8a52c3c8d4f148a9be397d594248733d,KSTC055WS007001,17410.6063000001,80163.93799999915,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_17410.6063|410080163.938KSTC055WS007001
3ee4da93d2cb40ccab0d4a2f8f309580,KSTC055YS024001,17422.950000000186,80163.93799999915,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_17422.95|410080163.938KSTC055YS024001
835fd25129fc4663bcec7682c807cf37,KSTC037WS054,16721.5,79914.31200000085,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16721.5|410079914.312KSTC037WS054
0dd27e5749914aa19c8081c09a44e09e,KSTC037YS055,16721.383999999613,79916.67100000009,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16721.384|410079916.671KSTC037YS055
ae82805a2bca48d7a5564499f084e40b,KSTC055YS024001,17422.950000000186,80163.93799999915,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_17422.95|410080163.938KSTC055YS024001
c2c0732596974da198029f9981ffe24c,KSTC028WS029,20533.46989999991,77483.40389999934,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20533.4699|410077483.4039KSTC028WS029
5f1669f5f27f468ea23c088590ccd4e0,KSTC028YS019,20534.26099999994,77481.41200000048,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20534.261|410077481.412KSTC028YS019
1cb1792bb26c48ba9c5ca7664b6e81d6,KSTC028WS038,20521.27170000039,77538.44439999945,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20521.2717|410077538.4444KSTC028WS038
4ed83db5211c4ff89ed476c2f6e78363,KSTC028YS050,20521.879099999554,77539.5223999992,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20521.8791|410077539.5224KSTC028YS050
f1fb906ff3b14daa9546786d7aabceb5,KSTC028WS040,20474.48699999973,77515.11659999937,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20474.487|410077515.1166KSTC028WS040
8f3bbbfc31ea490e9d8ea48d50df8a36,KSTC028YS032,20474.04899999965,77514.35799999908,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20474.049|410077514.358KSTC028YS032
0547970e061d408a8ab7b4ffb6b8cfae,KSTC028WS041,20474.9216,77515.14660000056,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20474.9216|410077515.1466KSTC028WS041
ff381f109d7b4de1ab3ca9e289e8cda1,KSTC028YS032,20474.04899999965,77514.35799999908,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20474.049|410077514.358KSTC028YS032
db4095c8455844019ff2f08b9d989edb,KSTC028WS045,20532.253999999724,77538.84930000082,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_20532.254|410077538.8493KSTC028WS045
